,player,targets,rec,rec_yds,rec_td,rec_long,rec_air_yds,rec_yac,rec_drops
848,Tyreek Hill,545,380,5084,38,1794,6260.7,1814,25
849,Tyrell Williams,67,44,665,6,329,888.6,193,5
850,Tyrie Cleveland,14,8,91,0,51,115.0,35,0
851,Tyrion Davis-Price,2,0,0,0,0,0.0,0,0
852,Tyrod Taylor,1,0,0,0,0,-4.0,0,0
853,Tyron Johnson,31,22,414,3,321,636.4,68,0
854,Tyrone Swoopes,1,1,5,0,5,-2.0,7,0
855,Van Jefferson,144,84,1170,8,767,1820.6,324,7
856,Vance McDonald ,77,53,372,3,208,319.2,251,4
857,Velus Jones Jr.,5,3,24,1,24,46.9,33,1
858,Ventell Bryant,1,1,15,1,15,15.0,0,0
859,Vernon Davis,19,10,123,1,83,130.9,80,1
860,Virgil Green,19,12,128,2,128,134.0,62,1
861,Vita Vea,1,1,1,1,1,1.0,0,0
862,Vyncint Smith,35,18,238,0,176,430.2,106,2
863,Wan'Dale Robinson,16,12,107,1,48,77.0,56,0
864,Wayne Gallman,45,33,237,1,179,45.8,224,3
865,Wendell Smallwood,18,13,86,0,77,30.9,64,1
866,Wes Hills,2,2,1,0,2,-2.0,3,0
867,Will Dissly,104,88,932,10,611,601.2,485,5
868,Will Fuller,162,111,1664,11,676,2179.1,541,8
869,Willie Snead,117,81,899,8,490,981.1,349,7
870,Wyatt Teller,1,1,-5,0,-5,-5.0,0,0
871,Xavier Grimble,3,1,3,0,3,9.0,2,1
872,Zach Ertz,387,244,2433,15,959,3060.0,844,19
873,Zach Gentry,43,36,296,0,185,102.8,231,0
874,Zach Line,10,6,36,0,36,31.1,45,0
875,Zach Pascal,226,134,1753,15,943,2253.9,662,11
876,Zach Wilson,2,1,2,1,2,10.0,0,0
877,Zach Zenner,3,2,19,0,19,5.0,19,1
878,Zack Moss,62,48,345,2,201,60.8,334,3
879,Zander Horvath,7,4,7,2,6,5.0,1,1
880,Zay Jones,185,121,1236,4,684,1998.9,415,7
881,Zeke Turner,1,1,26,0,26,14.0,12,0
