,player,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,fumbles_lost
153,Mike Gesicki,0,1,0,0,0,0,0,0,39.6,0
154,Mike Glennon,207,356,1918,12,15,18,121,339,885.3,6
155,Mike White,88,132,953,5,8,4,18,102,327.5,0
156,Mitchell Trubisky,628,978,6232,37,21,66,420,955,2940.6,4
157,Najee Harris,1,1,4,0,0,0,0,4,83.3,0
158,Nate Sudfeld,5,12,32,0,1,2,16,10,14.6,1
159,Nathan Peterman,3,5,25,0,0,2,16,12,72.9,0
160,Nick Foles ,303,464,2838,14,10,30,226,433,1121.5,2
161,Nick Mullens,231,356,2584,13,12,19,139,349,921.1,4
162,Odell Beckham Jr.,3,4,78,0,0,0,0,78,395.7,1
163,P.J. Walker,86,146,976,4,4,13,86,208,642.3,1
164,Patrick Mahomes,1532,2302,18291,144,34,94,617,2642,6450.3,8
165,Philip Rivers,786,1180,9093,49,31,53,340,1314,3137.7,4
166,Phillip Walker,32,56,368,1,5,4,31,103,194.1,0
167,Randall Cobb,0,2,0,0,0,0,0,0,79.2,0
168,Rex Burkhead,0,2,0,0,0,0,0,0,79.2,0
169,Riley Dixon,1,3,12,0,0,0,0,12,195.9,0
170,Robert Griffin III,31,52,267,1,4,8,39,104,570.6,1
171,Russell Gage,1,2,39,1,0,0,0,39,197.9,0
172,Russell Wilson,1148,1759,13658,104,29,160,1072,2315,5606.9,7
173,Ryan Finley,58,119,638,3,4,20,156,162,398.2,3
174,Ryan Fitzpatrick,497,775,5633,33,21,55,276,798,2235.3,2
175,Ryan Griffin,2,4,18,0,0,0,0,13,62.5,0
176,Ryan Tannehill,1037,1554,12146,89,35,123,876,2236,5535.4,9
177,Ryan Wright,1,1,13,0,0,0,0,13,118.7,0
178,Sam Darnold,733,1211,7759,37,37,103,650,1329,2838.3,9
179,Sam Ehlinger,17,23,201,0,0,2,12,47,100.1,1
180,Sam Koch,2,3,13,0,0,0,0,13,237.5,0
181,Sammy Watkins,0,1,0,0,1,0,0,0,0.0,0
182,Sean Mannion,34,57,315,1,2,2,15,65,119.19999999999999,1
183,Skylar Thompson,26,46,255,0,1,3,16,60,133.9,1
184,Stefon Diggs,0,1,0,0,0,0,0,0,39.6,0
185,Steven Sims,0,1,0,0,0,0,0,0,39.6,0
186,Taylor Heinicke,375,586,4119,24,17,43,314,725,1656.2,2
187,Taysom Hill,176,270,2099,9,7,22,146,615,2513.3,3
188,Teddy Bridgewater,795,1174,8691,45,23,80,538,1476,3662.9,4
189,Tim Boyle,64,98,541,3,6,0,0,97,261.1,0
190,Tom Brady,1643,2548,18143,129,38,96,657,2466,6179.4,8
191,Tom Kennedy,1,1,75,1,0,0,0,75,158.3,0
192,Tommy Townsend,2,3,29,0,0,0,0,29,277.0,0
193,Trace McSorley,5,14,102,1,0,1,8,93,218.3,0
194,Travis Kelce,2,3,6,1,0,0,0,6,241.6,0
195,Trevor Lawrence,532,879,5481,22,23,44,327,808,1931.5,9
196,Trevor Siemian,112,195,1162,11,3,11,81,180,682.7,1
197,Trey Lance,56,102,797,5,3,6,24,221,568.2,0
198,Tua Tagovailoa,579,864,6145,39,18,48,347,962,2652.5,2
199,Ty Long,0,1,0,0,0,0,0,0,39.6,0
200,Tyler Boyd,3,4,85,0,0,0,0,85,395.7,0
201,Tyler Bray,1,5,18,0,0,0,0,18,42.1,0
202,Tyler Huntley,131,206,1156,3,4,19,115,226,649.9,3
203,Tyrod Taylor,112,189,1218,6,6,15,120,260,766.6,0
204,Will Grier,28,52,228,0,4,6,44,32,46.0,1
205,Zach Pascal,0,2,0,0,0,0,0,0,79.2,0
206,Zach Wilson,291,525,3382,12,16,54,443,661,1293.6,1
207,Zay Jones,1,1,29,0,0,0,0,29,118.7,0
